cohort,dataset,outcome,representation,model,n,pearson_r,spearman_rho,prediction_sd,pearson_ci_2_5,pearson_ci_97_5,spearman_ci_2_5,spearman_ci_97_5,successful_bootstraps,metric_note,panel_order,drug_name,study_role,mechanism_class
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Elastic Net,554,0.2068432903966636,0.2158960509003921,0.3784132438187177,0.1254973931164278,0.2894283266660769,0.1365002230150649,0.2962877729620188,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Random forest,554,0.175384775604205,0.1871780725045816,0.2952745518700707,0.1005736555475628,0.2615432413855495,0.1029387422767749,0.2693165819981422,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Hallmark pathways,Mean baseline,554,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Hallmark pathways,Elastic Net,554,0.152095988688468,0.1710709305737409,0.3784132438187177,0.0627505605517395,0.2344744488912964,0.090690852536108,0.2492539659149638,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Hallmark pathways,Random forest,554,0.1238428569901469,0.1513520923930831,0.2952745518700707,0.0289343176970757,0.2098750972058892,0.0572969411370617,0.2339205156325252,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Hallmark pathways,Mean baseline,336,,,4.440892098500626e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Hallmark pathways,Elastic Net,336,0.0910339101251779,0.0724231745047547,0.363414263325943,-0.0079109609353593,0.1818090430044648,-0.0202102645925278,0.1706666783027548,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Hallmark pathways,Random forest,336,0.0295247354695891,0.0170392210207968,0.2856446443940386,-0.0777028435898328,0.1313447498595546,-0.087465908507176,0.1206033071906045,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_strict_sanger_heldout,GDSC1,AUC,Hallmark pathways,Mean baseline,336,,,4.440892098500626e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_strict_sanger_heldout,GDSC1,AUC,Hallmark pathways,Elastic Net,336,0.0382804230818733,0.0418293230751709,0.363414263325943,-0.0552736320691085,0.139461334407571,-0.0648630157848284,0.1508437464331472,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
