cohort,dataset,outcome,model,n,gene_pearson_r,pathway_pearson_r,pearson_difference_pathway_minus_gene,pearson_difference_ci_2_5,pearson_difference_ci_97_5,pearson_conclusion,gene_spearman_rho,pathway_spearman_rho,spearman_difference_pathway_minus_gene,spearman_difference_ci_2_5,spearman_difference_ci_97_5,spearman_conclusion,successful_paired_bootstraps,panel_order,drug_name,study_role,mechanism_class
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Elastic Net,511,0.2043026455241328,0.0540912880680697,-0.150211357456063,-0.2747590149455759,-0.0221354593526614,individual genes favored,0.1533095429952802,-0.0251711429434787,-0.178480685938759,-0.3043060264525221,-0.0526346818622528,individual genes favored,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Random forest,511,0.1851422534502029,0.0648741279796605,-0.1202681254705424,-0.1923707629037628,-0.0460741214254557,individual genes favored,0.0080732164441118,-0.0391423607114078,-0.0472155771555197,-0.1135427164290775,0.0156921903117425,difference uncertain,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Elastic Net,352,0.1113835794955759,0.0064545622251929,-0.104929017270383,-0.2264817540733399,-0.0016133147815016,individual genes favored,0.037099035682605,-0.0576111408264382,-0.0947101765090433,-0.2081401602034093,0.0200885113970039,difference uncertain,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Random forest,352,0.3743905372302768,0.1871197588564081,-0.1872707783738687,-0.286213428912165,-0.0877908893145249,individual genes favored,0.3830429485528634,0.1489618345142424,-0.234081114038621,-0.3337414706544963,-0.1238219747983785,individual genes favored,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_strict_sanger_heldout,GDSC2,AUC,Elastic Net,352,0.0488396591548551,-0.0355794968531102,-0.0844191560079653,-0.1964188705843622,0.0128964270096295,difference uncertain,0.0141975981211108,-0.0633093299523894,-0.0775069280735002,-0.1814687969035952,0.029982251845109,difference uncertain,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_strict_sanger_heldout,GDSC2,AUC,Random forest,352,0.3363845372376292,0.1594636132411565,-0.1769209239964727,-0.2716491298648955,-0.0774884488754719,individual genes favored,0.3587680025357078,0.1390946950437035,-0.2196733074920043,-0.3257444935246602,-0.1108551155655311,individual genes favored,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Elastic Net,572,0.0578679382987859,-0.0585406865519155,-0.1164086248507015,-0.2034665481822562,-0.0353486815653715,individual genes favored,-0.0048256820155115,-0.1085673296454418,-0.1037416476299303,-0.1929011710786997,-0.0203618134207365,individual genes favored,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Random forest,572,0.3625410260599565,0.0847958214564866,-0.2777452046034699,-0.3524066647995553,-0.2006483104321109,individual genes favored,0.371563921723924,0.044118185479442,-0.327445736244482,-0.4087610013003237,-0.2517893795969714,individual genes favored,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Elastic Net,572,0.0091987791788611,-0.0812911834533425,-0.0904899626322036,-0.1798810750002495,-0.0066451013262838,individual genes favored,-0.0125187527375293,-0.1039261854035237,-0.0914074326659943,-0.1854888334500403,-0.001426602370886,individual genes favored,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Random forest,572,0.3251620603494342,0.0646449335952278,-0.2605171267542063,-0.3328567871786771,-0.1896397621237617,individual genes favored,0.3521348769787716,0.0481676931553606,-0.303967183823411,-0.3830919447771537,-0.2224735194890947,individual genes favored,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
