validation_scheme,representation,model,n,pearson_r,spearman_rho,rmse,mae,pearson_difference_pathway_minus_gene,rmse_difference_pathway_minus_gene,gene_set_file,n_pathways,panel_order,drug_name,study_role,mechanism_class
Held-out tissue folds,Individual genes,Elastic Net,522,0.1302623829041314,0.1896453647788467,1.6641255137104725,1.2519830083172845,0.0,0.0,not applicable,,5,vorinostat,Confirmatory extension,HDAC inhibition
Held-out tissue folds,Individual genes,Random forest,522,0.2013957404812784,0.204244271950995,1.458011473909931,1.1807372595103194,0.0,0.0,not applicable,,5,vorinostat,Confirmatory extension,HDAC inhibition
Random cell-line folds,Hallmark pathways,Mean baseline,522,-0.0868577141188016,-0.0827821921814534,1.489080621990783,1.2114691608649988,0.0,0.0,h.all.v2026.1.Hs.symbols.gmt,50.0,5,vorinostat,Confirmatory extension,HDAC inhibition
Random cell-line folds,Hallmark pathways,Elastic Net,522,0.1633989557540331,0.1926791088221849,1.472800882880377,1.2020313503760456,-0.1290619980586058,0.0288752958970404,h.all.v2026.1.Hs.symbols.gmt,50.0,5,vorinostat,Confirmatory extension,HDAC inhibition
Random cell-line folds,Hallmark pathways,Random forest,522,0.1480652032077737,0.1107017917515554,1.479066932175963,1.1942291251171142,-0.099185909111735,0.0381446342628482,h.all.v2026.1.Hs.symbols.gmt,50.0,5,vorinostat,Confirmatory extension,HDAC inhibition
Held-out tissue folds,Hallmark pathways,Mean baseline,522,-0.0835105815755605,-0.0847984169769325,1.4888375280560282,1.212295440164862,-4.163336342344337e-17,0.0,h.all.v2026.1.Hs.symbols.gmt,50.0,5,vorinostat,Confirmatory extension,HDAC inhibition
Held-out tissue folds,Hallmark pathways,Elastic Net,522,0.0991605558467519,0.0983104250181842,1.499788826611478,1.2119048779001056,-0.0311018270573794,-0.1643366870989944,h.all.v2026.1.Hs.symbols.gmt,50.0,5,vorinostat,Confirmatory extension,HDAC inhibition
Held-out tissue folds,Hallmark pathways,Random forest,522,0.1187939385911963,0.1142570910571622,1.4885173466554764,1.1983339192491405,-0.082601801890082,0.0305058727455453,h.all.v2026.1.Hs.symbols.gmt,50.0,5,vorinostat,Confirmatory extension,HDAC inhibition
Random cell-line folds,Individual genes,Random forest,552,0.1924135112256967,0.1582666599506946,1.153897480341638,0.9388240207629752,0.0,0.0,not applicable,,6,bortezomib,Confirmatory extension,Proteasome inhibition
Random cell-line folds,Individual genes,Elastic Net,552,0.226138749560649,0.1930028405601171,1.1619525761622116,0.9378392938204896,0.0,0.0,not applicable,,6,bortezomib,Confirmatory extension,Proteasome inhibition
Random cell-line folds,Individual genes,Mean baseline,552,-0.0976143663907027,-0.1043291134797692,1.1744119276473648,0.9526877826837096,0.0,0.0,not applicable,,6,bortezomib,Confirmatory extension,Proteasome inhibition
Held-out tissue folds,Individual genes,Mean baseline,552,-0.1002763616972481,-0.0969978780848856,1.174594820081492,0.9524676891669358,0.0,0.0,not applicable,,6,bortezomib,Confirmatory extension,Proteasome inhibition
Held-out tissue folds,Individual genes,Elastic Net,552,0.2353756166706314,0.228208894505826,1.1577911311893736,0.93162379105586,0.0,0.0,not applicable,,6,bortezomib,Confirmatory extension,Proteasome inhibition
Held-out tissue folds,Individual genes,Random forest,552,0.1746435995519811,0.1888497551928328,1.1554509573926948,0.9324985791477534,0.0,0.0,not applicable,,6,bortezomib,Confirmatory extension,Proteasome inhibition
Random cell-line folds,Hallmark pathways,Mean baseline,552,-0.0976143663907027,-0.1043291134797692,1.1744119276473648,0.9526877826837096,-8.326672684688674e-17,0.0,h.all.v2026.1.Hs.symbols.gmt,50.0,6,bortezomib,Confirmatory extension,Proteasome inhibition
Random cell-line folds,Hallmark pathways,Elastic Net,552,0.2033961133341868,0.1641789032199423,1.146857606263322,0.933374384556592,-0.0227426362264621,-0.0150949698988895,h.all.v2026.1.Hs.symbols.gmt,50.0,6,bortezomib,Confirmatory extension,Proteasome inhibition
Random cell-line folds,Hallmark pathways,Random forest,552,0.0870464793499208,0.0608636863637278,1.1801483197095763,0.954635548745448,-0.1053670318757759,0.0262508393679383,h.all.v2026.1.Hs.symbols.gmt,50.0,6,bortezomib,Confirmatory extension,Proteasome inhibition
Held-out tissue folds,Hallmark pathways,Mean baseline,552,-0.1002763616972481,-0.0969978780848856,1.174594820081492,0.9524676891669358,0.0,0.0,h.all.v2026.1.Hs.symbols.gmt,50.0,6,bortezomib,Confirmatory extension,Proteasome inhibition
Held-out tissue folds,Hallmark pathways,Elastic Net,552,0.1867077255050842,0.1727039544851158,1.1512045966271542,0.932590129129507,-0.0486678911655471,-0.0065865345622193,h.all.v2026.1.Hs.symbols.gmt,50.0,6,bortezomib,Confirmatory extension,Proteasome inhibition
Held-out tissue folds,Hallmark pathways,Random forest,552,0.0599172726089027,0.0697427530643167,1.1829656680989102,0.9561428570153168,-0.1147263269430783,0.0275147107062154,h.all.v2026.1.Hs.symbols.gmt,50.0,6,bortezomib,Confirmatory extension,Proteasome inhibition
